Zeit;Schritt;Modus;Event;Geschwindigkeit;Lautstärke
11:05:52.748;-;-;button_down;-;-
11:05:54.648;-;Hold;button_up;-;-
11:05:59.152;-;-;button_down;-;-
11:06:03.760;-;Hold;button_up;-;-
11:06:07.914;-;-;button_down;-;-
11:06:08.205;-;Hold;button_up;-;-
11:06:10.744;-;-;button_down;-;-
11:06:14.785;-;Hold;button_up;-;-
11:06:15.455;-;-;button_down;-;-
11:06:16.651;-;Hold;button_up;-;-
11:06:21.191;-;-;button_down;-;-
11:06:21.663;-;Hold;button_up;-;-
11:06:26.135;-;-;button_down;-;-
11:06:35.885;-;Hold;button_up;-;-
11:06:37.537;6;Hold;-;57,63;79,95
11:06:37.552;6;Hold;-;56,67;79,95
11:06:37.562;6;Hold;-;56,05;79,95
11:06:37.581;6;Hold;-;54,90;79,95
11:06:37.593;6;Hold;-;54,34;79,95
11:06:37.605;6;Hold;-;53,76;79,95
11:06:37.621;6;Hold;-;53,16;79,95
11:06:37.635;6;Hold;-;52,56;79,95
11:06:37.647;6;Hold;-;51,98;79,95
11:06:37.663;6;Hold;-;51,39;79,95
11:06:37.678;6;Hold;-;50,81;79,95
11:06:37.692;6;Hold;-;50,22;79,95
11:06:37.703;6;Hold;-;49,62;79,95
11:06:37.720;6;Hold;-;49,04;79,95
11:06:37.734;6;Hold;-;48,45;79,95
11:06:37.758;6;Hold;-;47,86;79,95
11:06:37.772;6;Hold;-;47,28;79,95
11:06:37.785;6;Hold;-;46,27;79,95
11:06:37.802;6;Hold;-;45,68;79,95
11:06:37.816;6;Hold;-;45,07;79,95
11:06:37.830;6;Hold;-;44,45;79,95
11:06:37.843;6;Hold;-;43,87;79,95
11:06:37.859;6;Hold;-;43,27;79,95
11:06:37.873;6;Hold;-;42,66;79,95
11:06:37.885;6;Hold;-;42,09;79,95
11:06:37.912;6;Hold;-;41,49;79,95
11:06:37.923;6;Hold;-;40,90;79,95
11:06:37.939;6;Hold;-;39,94;79,95
11:06:37.954;6;Hold;-;39,35;79,95
11:06:37.966;6;Hold;-;38,75;79,95
11:06:37.982;6;Hold;-;38,13;79,95
11:06:37.997;6;Hold;-;37,54;79,95
11:06:38.011;6;Hold;-;36,97;79,95
11:06:38.023;6;Hold;-;36,37;79,95
11:06:38.040;6;Hold;-;35,78;79,95
11:06:38.053;6;Hold;-;35,20;79,95
11:06:38.065;6;Hold;-;34,59;79,95
11:06:38.082;6;Hold;-;34,01;79,95
11:06:38.096;6;Hold;-;33,44;79,95
11:06:38.110;6;Hold;-;32,84;79,95
11:06:38.122;6;Hold;-;32,24;79,95
11:06:38.147;6;Hold;-;31,67;79,95
11:06:38.162;6;Hold;-;31,07;79,95
11:06:38.176;6;Hold;-;30,13;79,95
11:06:38.191;6;Hold;-;29,49;79,95
11:06:38.204;6;Hold;-;28,90;79,95
11:06:38.220;6;Hold;-;28,29;79,95
11:06:38.244;6;Hold;-;27,65;79,95
11:06:38.258;6;Hold;-;27,09;79,95
11:06:38.273;6;Hold;-;26,09;79,95
11:06:38.285;6;Hold;-;25,50;79,95
11:06:38.303;6;Hold;-;24,91;79,95
11:06:38.316;6;Hold;-;24,30;79,95
11:06:38.330;6;Hold;-;23,72;79,95
11:06:38.342;6;Hold;-;23,13;79,95
11:06:38.358;6;Hold;-;22,54;79,95
11:06:38.372;6;Hold;-;21,95;79,95
11:06:38.384;6;Hold;-;21,35;79,95
11:06:38.401;6;Hold;-;20,79;79,95
11:06:38.414;6;Hold;-;20,20;79,95
11:06:38.426;6;Hold;-;19,59;79,95
11:06:38.442;6;Hold;-;19,03;79,95
11:06:38.456;6;Hold;-;18,45;79,95
11:06:38.470;6;Hold;-;17,85;79,95
11:06:38.482;6;Hold;-;17,29;79,95
11:06:38.499;6;Hold;-;16,70;79,95
11:06:38.513;6;Hold;-;16,11;79,95
11:06:38.525;6;Hold;-;15,54;79,95
11:06:38.550;6;Hold;-;14,95;79,95
11:06:38.565;6;Hold;-;14,36;79,95
11:06:38.579;6;Hold;-;13,41;79,95
11:06:38.594;6;Hold;-;12,78;79,95
11:06:38.606;6;Hold;-;12,20;79,95
11:06:38.622;6;Hold;-;11,58;79,95
11:06:38.636;6;Hold;-;10,99;79,95
11:06:38.650;6;Hold;-;10,40;79,95
11:06:38.663;6;Hold;-;9,81;79,95
11:06:38.679;6;Hold;-;9,22;79,95
11:06:38.693;6;Hold;-;8,62;79,95
11:06:38.705;6;Hold;-;8,03;79,95
11:06:38.732;6;Hold;-;7,45;79,95
11:06:38.742;6;Hold;-;6,88;79,95
11:06:38.759;6;Hold;-;5,90;79,95
11:06:38.773;6;Hold;-;5,33;79,95
11:06:38.784;6;Hold;-;4,72;79,95
11:06:38.802;6;Hold;-;4,14;79,95
11:06:38.815;6;Hold;-;3,58;79,95
11:06:38.827;6;Hold;-;2,96;79,95
11:06:38.843;6;Hold;-;2,39;79,95
11:06:38.857;6;Hold;-;1,80;79,95
11:06:38.871;6;Hold;-;1,23;79,95
11:06:38.883;6;Hold;-;0,66;79,95
11:06:38.899;6;Hold;-;0,08;79,95
11:06:38.913;6;Hold;-;0,00;79,95
11:06:38.924;6;Hold;-;0,00;79,95
11:06:38.940;6;Hold;-;0,00;79,95
11:06:38.955;6;Hold;-;0,00;79,95
11:06:38.967;6;Hold;-;0,00;79,95
11:06:38.983;6;Hold;-;0,00;79,95
11:06:38.997;6;Hold;-;0,00;79,95
11:06:39.011;6;Hold;-;0,00;79,95
11:06:39.023;6;Hold;-;0,00;79,95
11:06:39.039;6;Hold;-;0,00;79,95
11:06:39.054;6;Hold;-;0,00;79,95
11:06:39.065;6;Hold;-;0,00;79,95
11:06:39.082;6;Hold;-;0,00;79,95
11:06:39.095;6;Hold;-;0,00;79,95
11:06:39.120;6;Hold;-;0,00;79,95
11:06:39.133;6;Hold;-;0,00;79,95
11:06:39.146;6;Hold;-;0,00;79,95
11:06:39.163;6;Hold;-;0,00;79,95
11:06:39.177;6;Hold;-;0,00;79,95
11:06:39.192;6;Hold;-;0,00;79,95
11:06:39.204;6;Hold;-;0,00;79,95
11:06:39.220;6;Hold;-;0,00;79,95
11:06:39.234;6;Hold;-;0,00;79,95
11:06:39.258;6;Hold;-;0,00;79,95
11:06:39.273;6;Hold;-;0,00;79,95
11:06:39.285;6;Hold;-;0,00;79,95
11:06:39.301;6;Hold;-;0,00;79,95
11:06:39.315;6;Hold;-;0,00;79,95
11:06:39.327;6;Hold;-;0,00;79,95
11:06:39.344;6;Hold;-;0,00;79,95
11:06:39.359;6;Hold;-;0,00;79,95
11:06:39.372;6;Hold;-;0,00;79,95
11:06:39.384;6;Hold;-;0,00;79,95
11:06:39.401;6;Hold;-;0,00;79,95
11:06:39.415;6;Hold;-;0,00;79,95
11:06:39.439;6;Hold;-;0,00;79,95
11:06:39.453;6;Hold;-;0,00;79,95
11:06:39.465;6;Hold;-;0,00;79,95
11:06:39.482;6;Hold;-;0,00;79,95
11:06:39.496;6;Hold;-;0,00;79,95
11:06:39.510;6;Hold;-;0,00;79,95
11:06:39.523;6;Hold;-;0,00;79,95
11:06:39.539;6;Hold;-;0,00;79,95
11:06:39.554;6;Hold;-;0,00;79,95
11:06:39.566;6;Hold;-;0,00;79,95
11:06:39.582;6;Hold;-;0,00;79,95
11:06:39.596;6;Hold;-;0,00;79,95
11:06:39.610;6;Hold;-;0,00;79,95
11:06:39.634;6;Hold;-;0,00;79,95
11:06:39.647;6;Hold;-;0,00;79,95
11:06:39.663;6;Hold;-;0,00;79,95
11:06:39.678;6;Hold;-;0,00;79,95
11:06:39.693;6;Hold;-;0,00;79,95
11:06:39.705;6;Hold;-;0,00;79,95
11:06:39.732;6;Hold;-;0,00;79,95
11:06:39.743;6;Hold;-;0,00;79,95
11:06:39.761;6;Hold;-;0,00;79,95
11:06:39.774;6;Hold;-;0,00;79,95
11:06:39.786;6;Hold;-;0,00;79,95
11:06:39.803;6;Hold;-;0,00;79,95
11:06:39.817;6;Hold;-;0,00;79,95
11:06:39.831;6;Hold;-;0,00;79,95
11:06:39.843;6;Hold;-;0,00;79,95
11:06:39.870;6;Hold;-;0,00;79,95
11:06:39.884;6;Hold;-;0,00;79,95
11:06:39.898;6;Hold;-;0,00;79,95
11:06:39.914;6;Hold;-;0,00;79,95
11:06:39.925;6;Hold;-;0,00;79,95
11:06:39.941;6;Hold;-;0,00;79,95
11:06:39.956;6;Hold;-;0,00;79,95
11:06:39.968;6;Hold;-;0,00;79,95
11:06:39.983;6;Hold;-;0,00;79,95
11:06:39.999;6;Hold;-;0,00;79,95
11:06:40.013;6;Hold;-;0,00;79,95
11:06:40.025;6;Hold;-;0,00;79,95
11:06:40.052;6;Hold;-;0,00;79,95
11:06:40.063;6;Hold;-;0,00;79,95
11:06:40.080;6;Hold;-;0,00;79,95
11:06:40.094;6;Hold;-;0,00;79,95
11:06:40.107;6;Hold;-;0,00;79,95
11:06:40.124;6;Hold;-;0,00;79,95
11:06:40.137;6;Hold;-;0,00;79,95
11:06:40.152;6;Hold;-;0,00;79,95
11:06:40.175;6;Hold;-;0,00;79,95
11:06:40.190;6;Hold;-;0,00;79,95
11:06:40.203;6;Hold;-;0,00;79,95
11:06:40.218;6;Hold;-;0,00;79,95
11:06:40.232;6;Hold;-;0,00;79,95
11:06:40.245;6;Hold;-;0,00;79,95
11:06:40.262;6;Hold;-;0,00;79,95
11:06:40.276;6;Hold;-;0,00;79,95
11:06:40.290;6;Hold;-;0,00;79,95
11:06:40.302;6;Hold;-;0,00;79,95
11:06:40.320;6;Hold;-;0,00;79,95
11:06:40.332;6;Hold;-;0,00;79,95
11:06:40.357;6;Hold;-;0,00;79,95
11:06:40.372;6;Hold;-;0,00;79,95
11:06:40.384;6;Hold;-;0,00;79,95
11:06:40.401;6;Hold;-;0,00;79,95
11:06:40.415;6;Hold;-;0,00;79,95
11:06:40.440;6;Hold;-;0,00;79,95
11:06:40.454;6;Hold;-;0,00;79,95
11:06:40.466;6;Hold;-;0,00;79,95
11:06:40.483;6;Hold;-;0,00;79,95
11:06:40.497;6;Hold;-;0,00;79,95
11:06:40.512;6;Hold;-;0,00;79,95
11:06:40.524;6;Hold;-;0,00;79,95
11:06:40.540;6;Hold;-;0,00;79,95
11:06:40.564;6;Hold;-;0,00;79,95
11:06:40.578;6;Hold;-;0,00;79,95
11:06:40.594;6;Hold;-;0,00;79,95
11:06:40.605;6;Hold;-;0,00;79,95
11:06:40.621;6;Hold;-;0,00;79,95
11:06:40.636;6;Hold;-;0,00;79,95
11:06:40.650;6;Hold;-;0,00;79,95
11:06:40.662;6;Hold;-;0,00;79,95
11:06:40.678;6;Hold;-;0,00;79,95
11:06:40.692;6;Hold;-;0,00;79,95
11:06:40.705;6;Hold;-;0,00;79,95
11:06:40.721;6;Hold;-;0,00;79,95
11:06:40.735;6;Hold;-;0,00;79,95
11:06:40.759;6;Hold;-;0,00;79,95
11:06:40.773;6;Hold;-;0,00;79,95
11:06:40.785;6;Hold;-;0,00;79,95
11:06:40.803;6;Hold;-;0,00;79,95
11:06:40.816;6;Hold;-;0,00;79,95
11:06:40.831;6;Hold;-;0,00;79,95
11:06:40.843;6;Hold;-;0,00;79,95
11:06:40.859;6;Hold;-;0,00;79,95
11:06:40.874;6;Hold;-;0,00;79,95
11:06:40.886;6;Hold;-;0,00;79,95
11:06:40.913;6;Hold;-;0,00;79,95
11:06:40.924;6;Hold;-;0,00;79,95
11:06:40.940;6;Hold;-;0,00;79,95
11:06:40.955;6;Hold;-;0,00;79,95
11:06:40.968;6;Hold;-;0,00;79,95
11:06:40.984;6;Hold;-;0,00;79,95
11:06:40.999;6;Hold;-;0,00;79,95
11:06:41.012;6;Hold;-;0,00;79,95
11:06:41.038;6;Hold;-;0,00;79,95
11:06:41.052;6;Hold;-;0,00;79,95
11:06:41.063;6;Hold;-;0,00;79,95
11:06:41.080;6;Hold;-;0,00;79,95
11:06:41.096;6;Hold;-;0,00;79,95
11:06:41.120;6;Hold;-;0,00;79,95
11:06:41.148;6;Hold;-;0,00;79,95
11:06:41.163;6;Hold;-;0,00;79,95
11:06:41.176;6;Hold;-;0,00;79,95
11:06:41.203;6;Hold;-;0,00;79,95
11:06:41.217;6;Hold;-;0,00;79,95
11:06:41.231;6;Hold;-;0,00;79,95
11:06:41.244;6;Hold;-;0,00;79,95
11:06:41.260;6;Hold;-;0,00;79,95
11:06:41.274;6;Hold;-;0,00;79,95
11:06:41.287;6;Hold;-;0,00;79,95
11:06:41.302;6;Hold;-;0,00;79,95
11:06:41.317;6;Hold;-;0,00;79,95
11:06:41.331;6;Hold;-;0,00;79,95
11:06:41.343;6;Hold;-;0,00;79,95
11:06:41.360;6;Hold;-;0,00;79,95
11:06:41.374;6;Hold;-;0,00;79,95
11:06:41.397;6;Hold;-;0,00;79,95
11:06:41.411;6;Hold;-;0,00;79,95
11:06:41.423;6;Hold;-;0,00;79,95
11:06:41.440;6;Hold;-;0,00;79,95
11:06:41.453;6;Hold;-;0,00;79,95
11:06:41.465;6;Hold;-;0,00;79,95
11:06:41.482;6;Hold;-;0,00;79,95
11:06:41.495;6;Hold;-;0,00;79,95
11:06:41.510;6;Hold;-;0,00;79,95
11:06:41.522;6;Hold;-;0,00;79,95
11:06:41.538;6;Hold;-;0,00;79,95
11:06:41.553;6;Hold;-;0,00;79,95
11:06:41.565;6;Hold;-;0,00;79,95
11:06:41.581;6;Hold;-;0,00;79,95
11:06:41.595;6;Hold;-;0,00;79,95
11:06:41.607;6;Hold;-;0,00;79,95
11:06:41.623;6;Hold;-;0,00;79,95
11:06:41.647;6;Hold;-;0,00;79,95
11:06:41.661;6;Hold;-;0,00;79,95
11:06:41.676;6;Hold;-;0,00;79,95
11:06:41.690;6;Hold;-;0,00;79,95
11:06:41.703;6;Hold;-;0,00;79,95
11:06:41.719;6;Hold;-;0,00;79,95
11:06:41.733;6;Hold;-;0,00;79,95
11:06:41.746;6;Hold;-;0,00;79,95
11:06:41.763;6;Hold;-;0,00;79,95
11:06:41.776;6;Hold;-;0,00;79,95
11:06:41.800;6;Hold;-;0,00;79,95
11:06:41.813;6;Hold;-;0,00;79,95
11:06:41.825;6;Hold;-;0,00;79,95
11:06:41.842;6;Hold;-;0,00;79,95
11:06:41.855;6;Hold;-;0,00;79,95
11:06:41.870;6;Hold;-;0,00;79,95
11:06:41.883;6;Hold;-;0,00;79,95
11:06:41.898;6;Hold;-;0,00;79,95
11:06:41.913;6;Hold;-;0,00;79,95
11:06:41.925;6;Hold;-;0,00;79,95
11:06:41.942;6;Hold;-;0,00;79,95
11:06:41.956;6;Hold;-;0,00;79,95
11:06:41.967;6;Hold;-;0,00;79,95
11:06:41.983;6;Hold;-;0,00;79,95
11:06:41.998;6;Hold;-;0,00;79,95
11:06:42.012;6;Hold;-;0,00;79,95
11:06:42.024;6;Hold;-;0,00;79,95
11:06:42.040;6;Hold;-;0,00;79,95
11:06:42.055;6;Hold;-;0,00;79,95
11:06:42.077;6;Hold;-;0,00;79,95
11:06:42.092;6;Hold;-;0,00;79,95
11:06:42.104;6;Hold;-;0,00;79,95
11:06:42.121;6;Hold;-;0,00;79,95
11:06:42.135;6;Hold;-;0,00;79,95
11:06:42.150;6;Hold;-;0,00;79,95
11:06:42.163;6;Hold;-;0,00;79,95
11:06:42.179;6;Hold;-;0,00;79,95
11:06:42.202;6;Hold;-;0,00;79,95
11:06:42.217;6;Hold;-;0,00;79,95
11:06:42.231;6;Hold;-;0,00;79,95
11:06:42.243;6;Hold;-;0,00;79,95
11:06:42.259;6;Hold;-;0,00;79,95
11:06:42.273;6;Hold;-;0,00;79,95
11:06:42.286;6;Hold;-;0,00;79,95
11:06:42.302;6;Hold;-;0,00;79,95
11:06:42.316;6;Hold;-;0,00;79,95
11:06:42.330;6;Hold;-;0,00;79,95
11:06:42.342;6;Hold;-;0,00;79,95
11:06:42.359;6;Hold;-;0,00;79,95
11:06:42.373;6;Hold;-;0,00;79,95
11:06:42.384;6;Hold;-;0,00;79,95
11:06:42.402;6;Hold;-;0,00;79,95
11:06:42.415;6;Hold;-;0,00;79,95
11:06:42.438;6;Hold;-;0,00;79,95
11:06:42.453;6;Hold;-;0,00;79,95
11:06:42.465;6;Hold;-;0,00;79,95
11:06:42.482;6;Hold;-;0,00;79,95
11:06:42.496;6;Hold;-;0,00;79,95
11:06:42.511;6;Hold;-;0,00;79,95
11:06:42.523;6;Hold;-;0,00;79,95
11:06:42.539;6;Hold;-;0,00;79,95
11:06:42.553;6;Hold;-;0,00;79,95
11:06:42.565;6;Hold;-;0,00;79,95
11:06:42.582;6;Hold;-;0,00;79,95
11:06:42.596;6;Hold;-;0,00;79,95
11:06:42.619;6;Hold;-;0,00;79,95
11:06:42.634;6;Hold;-;0,00;79,95
11:06:42.646;6;Hold;-;0,00;79,95
